target_id	test_stat	pval	qval
YP_081547.1	15.7270073111683	7.31719305256264e-05	0.00679928079112819
YP_081552.1	15.1781019179887	9.78313782896142e-05	0.00679928079112819
YP_081521.1	12.988230538672	0.000313455050328074	0.0115907350419408
YP_081530.1	12.8719362375177	0.000333546332142182	0.0115907350419408
YP_081490.1	10.8021260082055	0.00101383596100511	0.0219693123814666
YP_081551.1	10.9099007059218	0.000956516524798645	0.0219693123814666
YP_081599.1	10.640515594312	0.00110636824942638	0.0219693123814666
YP_081576.1	9.79272517082751	0.00175203617501873	0.0304416285409504
YP_081601.1	9.4939486047298	0.00206150681297487	0.0318388274448341
YP_081600.1	9.15708271005024	0.00247757230915436	0.0344382550972456
YP_081613.1	8.70799249101128	0.00316817905330561	0.04003426258268
YP_007947989.1	8.21511106495733	0.00415429723740238	0.0444190243076101
YP_081531.1	8.36029249918345	0.00383508830335193	0.0444190243076101
